id,non-commonsense-statement,sentence1,sentence2,sentence3,label
8275,يمكنني القيام بواجباتي مع الطباشير.,يجب على الطلاب أداء واجباتهم المدرسية بشكل جيد.,واجبي المنزلي هو كتابة مقال عن الطباشير,يستخدم الطباشير لكتابة كتب الألواح.,2
8276,قام توم بتكوين الكثير من الأصدقاء لأنه كان انطوائيًا للغاية.,غالبًا ما يواجه الانطوائيون صعوبة في تكوين العديد من الأصدقاء.,يجب أن نساعد الانطوائيين على فتح عقولهم,"كان انطوائيًا في الماضي ، ولكن الآن لديه الكثير من الأصدقاء",0
8277,هناك العديد من الغيوم في البحر.,تظهر الغيوم فقط في السماء.,العديد من الغيوم تتجمع في البحر,يمكن للناس رؤية انعكاس الغيوم في البحر,0
8278,أنا حزين أنني حصلت على 100 في اختبار اللغة الإنجليزية.,عادة لا ينزعج الناس عندما يحصلون على علامة كاملة في الاختبار.,سيشعر الناس بالحزن إذا فشل الاختبار,المعلم سعيد للغاية لأنه حصل على 100 في اختبار اللغة الإنجليزية,0
8279,يجب أن يقرأ الناس في الشمس دائمًا.,يحب بعض الناس القراءة في الشمس إذا لم تكن الشمس قوية جدًا,"بعد القراءة في المكتبة ، خرج للنوم في سو","يمكن للقراءة في الشمس أن تضر عينيك ، ولدينا أنواع أخرى من الأضواء للقراءة",2
8280,أتناول الكثير من الوجبات السريعة كل يوم لصحتي.,بعض الناس لا يزال بإمكانهم الحفاظ على صحتهم حتى أنهم يأكلون الكثير من الوجبات السريعة,الطعام غير المرغوب فيه ضار بالصحة.,كثير من الناس لا يهتمون بصحتهم ويرغبون في تناول الوجبات السريعة,1
8281,يعمل الطبيب في مركز الشرطة.,كل من الطبيب والشرطة يستحق الاحترام,يعمل الأطباء في المستشفيات.,تم إحضار الطبيب إلى مركز الشرطة بسبب الفساد في عمله,1
8282,"عندما وصلنا إلى محطة السكة الحديد ، كانت الطائرة تحلق بعيدًا.",تتأخر القطارات والطائرات في بعض الأحيان.,الطائرة متوقفة في المطار وليس في محطة السكة الحديد.,لا يمكننا انتظار الطائرة في محطة السكة الحديد.,1
8283,"من أجل حماية البيئة ، يجب على الناس قيادة المزيد من السيارات.",القيادة في كثير من الأحيان يمكن أن تسبب التلوث البيئي.,يدعو المجتمع إلى عيش حياة منخفضة الكربون وصديقة للبيئة لحماية البيئة,إن قيادة المزيد من السيارات الكهربائية بدلاً من السيارات التقليدية يمكن أن يحمي البيئة.,0
8284,الحيتان هي حيوانات تضع البيض.,الحيتان حيوانات من الثديات.,الحيتان أكبر من البيض.,تعيش بعض الحيوانات التي تضع البيض في الماء مع الحيتان,0
8285,يمكن للكلاب تناول الشوكولاته.,"الكلاب هي واحدة من أكثر الحيوانات الأليفة شيوعًا ، والشوكولاته هي وجبة خفيفة شائعة",ستموت الكلاب إذا أكلت الشوكولاتة.,كلبي له نفس لون الشوكولاتة,1
8286,أستطيع رؤية الطقس بالخارج من خلال الحائط.,يمكن تعليق الزخارف على الجدران.,"أستطيع أن أرى توقعات الطقس على شاشة التلفزيون ، وهي معلقة على الحائط",الجدار غير شفاف ولا يمكن رؤيته من خلاله.,2
8287,البطيخ رخيص في الشتاء.,"البطيخ أقل في الشتاء ، لذلك عادة ما يكون أكثر تكلفة.",البطيخ أرخص مقارنة باللحوم في الشتاء,لا يزال بإمكان الناس تناول البطيخ في الشتاء,0
8288,ذهب اتحاد قطع الأشجار إلى المراعي لقطع الأشجار.,عادة ما يرعى الناس في المراعي.,لا توجد أشجار إلا العشب في المراعي.,علينا حماية المراعي والأشجار على كوكبنا,1
8289,يمكن للسيارات أن تعمل على القضبان.,كانت القطارات السابقة بحاجة إلى محركات بخارية لتشغيلها.,تحتاج السيارات إلى البنزين لتشغيلها,السكك الحديدية للقطارات وليس للسيارات.,2
8290,البرد مرض عضال.,المرض المستعصي فظيع للبشر.,البرد مرض صغير ويسهل علاجه.,"يمكن للمستشفيات علاج بعض الأمراض ، مثل البرد",1
8291,لعب كرة السلة يجب أن يرتدي النعال,لدى NBA العديد من نجوم كرة السلة الذين يحبون ارتداء النعال,يمكن أن يسبب ارتداء النعال ضررًا كبيرًا لقدميك.,نشأت كرة السلة والنعال في الولايات المتحدة,1
8292,نتائج الامتحانات ليست مهمة للطلاب.,يخشى العديد من الطلاب معرفة نتائج امتحاناتهم,"المعيار لاختبار الطلاب هو نتائج الامتحانات ، لذلك من المهم جدا.",من المهم جدًا أن يعمل الطلاب بجد لإجراء الاختبارات,1
8293,يحتاج الإنسان لاستعادة قوته من خلال ممارسة الرياضة.,يمكن للناس بناء القوة من خلال ممارسة الرياضة والراحة خلال النوم,"التمرين استنزاف خطير للقوة البدنية ، لكن النوم يساعدنا على التعافي منه",كثير من الناس يحبون الحصول على نوم جيد بعد ممارسة الرياضة لاستعادة قوتهم,1
8294,قلب الإنسان يستريح دائمًا.,يجب أن يكون لدينا ما يكفي من الراحة لحماية قلوبنا,التوقف عن ضربات القلب يعني الموت,القلب هو أهم عضو في جسم الإنسان,1
8295,غالبًا ما يحتاج الجنود إلى تدريب سهل.,يحتاج الجنود إلى التدريب لتعلم كيفية حراسة البلاد,عمل الجنود ليس سهلا,يحتاج الجنود إلى المرور بأوقات عصيبة.,2
8296,لا تزال الشمس موجودة في الأيام الملبدة بالغيوم,من المحتمل أن تمطر في الأيام الملبدة بالغيوم.,"في الأيام الملبدة بالغيوم ، تحجب السحب الداكنة الشمس.","بعد الأيام الملبدة بالغيوم ، تشرق الشمس مرة أخرى",1
8297,شرب الكثير من المشروبات مفيد لصحتك.,"تحتوي المشروبات على الكثير من السكر ، وهو ليس جيدًا لصحتك",يمكن أن تسبب المواد المضافة في المشروبات ضررًا للجسم,كثير من الناس يحبون شرب الكثير ولديهم مشاكل صحية,1
8298,فحم الكوك هو مشروب عصير فواكه.,لا يصنع فحم الكوك من عصير الفاكهة.,يتم عصر العصير من الفاكهة.,كل من فحم الكوك والعصير مشروبات شعبية,0
8299,يجب أن يتعارض الناس مع بعضهم البعض.,يجب أن يعيش الناس في سلام ويفهمون بعضهم البعض.,هناك صراعات متكررة بين الشرطة وعصابات.,"عند التعارض مع بعضهم البعض ، يجب أن يحاول الناس فهم الآخرين",0
8300,لا تحتاج إلى شراء التذاكر عند ركوب القطار.,القطارات وسيلة نقل.,يمكن للأشخاص شراء تذاكر القطار عبر الإنترنت أو في محطة القطار,يحتاج الجميع إلى شراء التذاكر عندما يأخذون القطار.,2
8301,واجب الطبيب حماية عائلته ووطنه.,الطبيب محمي ببيته ووطنه,يجب على الأطباء أن يطيعوا واجباتهم لمساعدة الآخرين,من واجب الجنود حماية منازلهم ووطنهم,2
8302,المد هو سلوك مصطنع.,هناك العديد من الظواهر الطبيعية الأخرى في العالم باستثناء المد والجزر,ترتبط المد والجزر بحركة الأجرام السماوية وهي ظاهرة طبيعية.,سوف تؤثر السلوكيات الاصطناعية على العديد من الظواهر الطبيعية,1
8303,الكل يريد أن يكون قبيحاً.,لا أحد يفضل تكوين صداقات مع أشخاص قبيحين,الجمال هو ما يسعى الجميع لتحقيقه.,يحبه كثير من الناس حتى أنه قبيح,1
8304,الذئب حيوان لطيف للغاية.,الذئاب عدوانية وشديدة.,الأرنب الأبيض الصغير هو حيوان لطيف للغاية,سوف تأكل الذئاب الحيوانات الصغيرة واللطيفة,0
8305,البترول مصدر للطاقة المتجددة,ليست كل موارد الأرض مصادر طاقة متجددة,يجب أن نحافظ على البترول,"النفط غير متجدد ، لذلك نحن بحاجة لحماية البيئة.",2
8306,ينام البشر عادة أثناء النهار ويعملون ليلاً.,يمكن للإنسان أن يختار العمل أثناء النهار أو في الليل,البشر أحرار في النوم أثناء النهار أو الليل,يعيش معظم الأشخاص وفقًا للعمل اليومي وروتين الراحة الليلية.,2
8307,الديناصورات هي أسلاف البشرية,أسلاف البشرية يجب أن يكونوا حيوانات,أسلاف الديناصورات لا يمكن أن تكون بشرية,يظهر البحث العلمي أن القرود هي أسلاف البشر.,2
8308,متنزه هو مكان جيد للنوم.,يحب الأطفال الذهاب إلى المتنزهات بعد النوم,بعد العودة من مدينة الملاهي يشعر الأطفال بالنعاس,"الحدائق الترفيهية ليست مناسبة للنوم ، لأنها مرتفعة للغاية",2
8309,تمتص الأشجار العناصر الغذائية عن طريق الأكل,تمتص الأشجار العناصر الغذائية من التربة,الأشجار ليس لها أفواه ولا يمكنها أن تأكل,يمكن للحشرات أن تمتص العناصر الغذائية عن طريق تناول الأوراق على الأشجار,1
8310,لقد ضغطت الطماطم على الخبز.,كثير من الناس يحبون تناول الخبز مع الطماطم,الطماطم فاكهة وليست سائلة,يمكننا عصر الطماطم لعمل عصير الطماطم,1
8311,اختراع الطائرات عطل حياة الناس.,تقصر الطائرات المسافة بين الناس.,تسهل الطائرات سفر الناس وحياتهم.,العديد من الاختراعات تعطل حياة الناس,1
8312,يجب على الجميع منع سيارات الإسعاف,يتم حظر سيارة الإسعاف ما لم تكن هناك حالة طوارئ,لا يمكن إرسال سيارات الإسعاف إلا في حالات الطوارئ.,ينص القانون على أنه يجب على الجميع التخلي عن سيارات الإسعاف.,2
8313,العسل هو العصير الذي تفرزه النحلة.,نحلة الملكة لا تنتج الرحيق.,ملكة النحل تأكل العسل الذي يفرزه النحل,العسل حلو جدا وملكة النحل كبيرة,0
8314,الماس مصنوع من عناصر معدنية.,الماس أصعب من العديد من العناصر المعدنية,الماس أغلى بكثير من العديد من المنتجات المعدنية,الماس هو مؤثر في الكربون,2
8315,يمكن للخضروات أن تزود الناس بالكثير من الدهون.,يوفر الوجبات السريعة الكثير من الدهون,لا يوجد دهون في الخضار.,يجب على الأشخاص السمينين تناول الكثير من الخضار.,1
8316,القمر دائري دائمًا.,القمر يضيء الظلام.,يحب الناس الاستمتاع بالقمر عندما يكون مستديرًا,"القمر يتشقق حتى يمتلئ ، ثم يتلاشى.",2
8317,يمكن انتهاك أراضي كل بلد,انتهاك أراضي دول أخرى أمر مخجل,يجب على الدول أن تقاتل من أجل أراضيها,أراضي الدولة جزء لا يتجزأ من الدولة.,2
8318,للكون كوكب واحد فقط هو الأرض.,الكون أكبر بكثير من الأرض,عالمنا ليس سوى جزء صغير من الأرض.,"نحن لا نعرف إلا القليل عن الكون ، حتى عن الأرض",1
8319,يسرق اللصوص أذرع الناس,لا يمكن سرقة ذراعي الإنسان,يستخدم الناس الأسلحة للقبض على اللصوص,يستخدم اللصوص الأسلحة لسرقة المنتجات,0
8320,الموسيقى صوت سيء للغاية.,يمكن للموسيقى أن تجلب السعادة للناس,هناك أنواع كثيرة من الصوت السيئ في العالم,يمكن للموسيقى أن تسعد الأشخاص الذين يعانون من المشاعر السيئة,0
8321,وشاح ما هو إلا مادة زخرفية.,وشاح لديه وظيفة تزيين أجسادنا,الوظيفة الرئيسية للوشاح هي حمايتنا من البرد.,وشاح على الرقبة ضد البرد,1
8322,الثلاجة تسرع من تدهور الطعام,يمكن أن توفر الثلاجات بيئة درجة حرارة منخفضة,يمكن أن تؤدي البيئة ذات درجة الحرارة المنخفضة إلى إطالة مدة صلاحية الطعام,سوف يتدهور الطعام أيضًا حتى عند تخزينه في الثلاجة,1
8323,الإنسان هو أكبر حيوان ثديي في العالم.,الحيتان هي ثدييات وأكبر من الرجل,هناك العديد من الثدييات في العالم.,الإنسان هو أذكى حيوان ثديي في العالم,0
8324,الأرانب حيوانات بدم بارد.,الأرنب لديه أذنان طويلتان.,الثعابين ذات الدم البارد سوف تأكل الأرانب,الأرنب حيوان جميل ذو دم دافئ.,2
8325,يمكن للقاصرين شراء السجائر,السجائر ضارة للغاية للقصر,يمكن للقاصرين التقاط أعقاب السجائر لحماية البيئة,يحظر القانون على القاصرين شراء السجائر,2
8326,صالة الألعاب الرياضية مكان جيد لتناول الطعام.,هناك مطعم جيد للأكل بالقرب من صالة الألعاب الرياضية,الأكل يمكن أن يوفر الطاقة للأشخاص لممارسة الرياضة في صالة الألعاب الرياضية,صالة الألعاب الرياضية هي مكان لممارسة الرياضة بدلاً من تناول الطعام,2
8327,أحب البطيخ كثيرًا لأنه مزعج للغاية.,تعفن البطيخ غير سار للغاية,يعتقد الناس أن البطيخ الطازج لطيف,الناس يكرهون الأشياء غير السارة بدلاً من أن يكونوا مثلها,2
8328,"إنه رجل أناني ، لذلك فهو يتمتع بشعبية كبيرة.",لا تلوم حياتك إذا كنت أنانيا,الناس الأنانيون مقرفون.,"بعض الناس المشهورين من حولنا أكثر أنانية ، فهم يهتمون فقط بأنفسهم.",1
8329,أعصر الزيت على الخبز على الفطور,تناول الكثير من الزيت في وجبة الإفطار غير صحي.,الخبز هو نوع من الطعام المخبوز.,النفط غير مخصص للإفطار.,2
8330,المحرك البخاري هو أهم سجل في تاريخ البشرية.,هناك العديد من الاختراعات والسجلات الناجحة في العالم.,المحرك البخاري ليس رقمًا قياسيًا بل هو اختراع,تسجل أوروبا الكثير من السجلات حول المحرك البخاري في العالم,1
8331,تأخر بيتر خمس دقائق للحاق بالحافلة الأخيرة.,يجب أن يصل الناس في الوقت المحدد لتجنب فقدان الحافلة,اعتاد كثير من الناس على التأخير لمدة خمس دقائق,كان بيتر متأخراً جداً للحاق بالحافلة الأخيرة.,2
8332,الفقراء أغنياء للغاية.,الفجوة بين الأغنياء والفقراء أكبر هذه السنوات,كما يريد الفقراء أن يكونوا أغنياء,الفقراء لا يملكون المال.,2
8333,كرة السلة هي إحدى أدواتي المفضلة.,كرة السلة ليست أداة,يحب العديد من الأولاد لعب كرة السلة.,يمكن للآلات إصدار أصوات رائعة.,0
8334,يمكننا الذهاب إلى الحلاقين لتناول العشاء.,الشعر له تأثير كبير على مظهر الشخص.,يحتاج الحلاقون إلى تناول الطعام لتمكين الجسم من الحصول على ما يكفي من الطاقة.,يجب أن تذهب إلى مطعم لتناول العشاء.,2
8335,يحب استكشاف البحر سيرا على الأقدام.,كثير من الناس يحبون استكشاف البحر,الإنسان لا يستطيع المشي على البحر,يمكن للناس استكشاف الشاطئ بالقرب من البحر سيرا على الأقدام,1
8336,يمكن أن ينتقل الصوت في فراغ.,الإنسان لا يستطيع التنفس في فراغ,يمكن للأصوات أن تنتقل أسرع من الجري البشري,"الأصوات تحتاج إلى وسيط لنقلها ، ولكن لا يوجد مثل هذا الوسيط في الفراغ",2
8337,عامة الناس هم أقوى الناس في العصور القديمة,لم يكن للعامة حقوق في العصور القديمة.,حكم أقوى الناس عامة الناس في العصور القديمة,كان هناك العديد من الناس العاديين ولكن القليل من الأشخاص الأقوياء في العصور القديمة,0
8338,الهواتف المحمولة هي وسيلة نقل محمولة,الهواتف المحمولة ليست وسيلة للنقل ولكن للاتصال,السيارة وسيلة نقل.,"عند قيادة وسائل النقل ، يجب ألا يستخدم الأشخاص الهواتف المحمولة للتحدث مع الآخرين",0
8339,عبور الطريق آمن للغاية.,هناك العديد من السيارات التي تعبر الطريق,عبور الطريق غير آمن.,يجب أن نلتزم بقواعد المرور لحمايتنا عند عبور الطريق,1
8340,يجب أن يكون لدى الجميع نوعية من الخداع.,يجب علينا زراعة نوعية جيدة.,الخداع ليس صفة سيثني عليها الناس,الناس الذين لديهم صفات جيدة لن يخدعوا الآخرين,1
8341,القبعة مجرد زخرفة,يمكن أن تحمينا القبعة من التعرض لأشعة الشمس,تحتاج إلى ارتداء قبعة عندما يكون ضوء الشمس شديدًا جدًا,يمكن للناس استخدام القبعات لتزيين وجوههم,0
8342,الأذن هي العضو الذي يجب رؤيته,الأذن هي في الواقع جهاز سمعي.,الناس لديهم العديد من الأعضاء في أجسادهم,يمكننا استخدام أعضائنا لرؤية آذان الآخرين,0
8343,الصداقة غذاء مهم,نحب أن نتناول الطعام مع صديق,الصداقة ليست اسم الطعام,الصداقة وتناول الطعام مهمان للغاية.,1
8344,عادات حياة الجميع هي نفسها.,الناس لديهم بعض عادات الحياة غير الصحية.,يحب الناس تكوين صداقات معهم لديهم نفس عادات الحياة التي لديهم,أشخاص مختلفون لديهم عادات مختلفة.,2
8345,يحتاج الناس إلى ارتداء أكمام قصيرة في الشتاء لمقاومة البرد.,"تريد بعض الفتيات أن يبدوا جميلات ، لذا سوف يرتدين أكمامًا قصيرة في الشتاء",أكمام قصيرة رقيقة جدًا ولا تتحمل البرد.,"في الشتاء ، يستخدم الناس السخان لمقاومة البرد",1
8346,ستعطي أنماط الملابس المختلفة الناس نفس الشعور.,أنماط مختلفة من الفستان تبدو مختلفة.,نفس الأشخاص لديهم أنماط مختلفة من الضمادات والمشاعر في أوقات مختلفة,من المهم جدًا أن يكون لديك أسلوبك الفريد في ارتداء الملابس والشعور بالعالم,0
8347,تحتاج السفن للسفر على الأرض.,لا يمكن للسفن السفر على الأرض,يمكننا صنع السفن على الأرض,يسافر الناس براً إلى شاطئ البحر ويأخذون السفن,0
8348,الكثير من الكحول مفيد لصحتك.,يمكن أن تسبب كميات كبيرة من الكحول ضررًا خطيرًا للجسم.,يحتوي الخمور على الكثير من الكحول.,من الجيد لصحتك التوقف عن شرب الكحول,0
8349,يمكن للسائقين الذين ليس لديهم رخصة قيادة القيادة على الطريق.,تحتاج رخصة القيادة لتمرير أربعة مواضيع,لا يمكن للشرب القيادة على الطريق,فقط أولئك الذين يحصلون على تراخيصهم من خلال القنوات القانونية يمكنهم القيادة على الطريق.,2
8350,يمكن شغل ممرات الطوارئ على الطرق السريعة,لا يجب أن تشغل ممرات الطوارئ على الطرق السريعة.,يمكن أن تسير السيارات في ممرات الطوارئ بشكل أسرع من الطرق السريعة,هناك طرق سريعة وممرات طوارئ على الطريق السريع,0
8351,هناك العديد من النباتات في الصحراء.,يمكن للنباتات التي تعيش في الصحراء أن تتحمل نقص المياه,هناك العديد من النباتات والصحراء في العالم,الصحراء جافة جدا وهناك عدد قليل جدا من النباتات.,2
8352,يجب أن تركض عندما تشعر بالتعب.,الجري يمكن أن يجعل الناس أكثر تعبًا.,الجري يجعل جسمك أقوى,يحتاج الجميع إلى الراحة الكافية.,0
8353,هناك العديد من الديناصورات في المدرسة.,هناك العديد من نماذج الديناصورات في المدرسة,يمكن أن يتعلم الناس معرفة الديناصورات في المدرسة,اختفت الديناصورات منذ فترة طويلة من الأرض,2
8354,يجب أن تكون الأحذية على الحظيرة,تستخدم علاّقات الملابس لوضع الملابس.,يحتاج الجميع إلى ارتداء الأحذية.,يمكننا شراء الأحذية والشماعات في المركز التجاري,0
8355,يمكن للناس أن يقطفوا الفراولة من الأشجار.,الفراولة حمراء والأشجار خضراء,لا يمكن لشجرة أن تنمو الفراولة.,كثير من الناس يحبون أكل الفراولة وزراعة الأشجار,1
8356,البلاستيك صعب للغاية.,المواد البلاستيكية ضعيفة للغاية,هناك العديد من المنتجات البلاستيكية في الحياة.,البلاستيك من الصعب أن يتحلل في التربة,0
8357,يمكن أن تعيش الخنازير في المحيط.,يمكن أن تعيش الخنازير على متن السفينة في المحيط,"لا تستطيع الخنازير أن تتنفس في المحيط ، لذا فهي لا تستطيع البقاء في المحيط",العديد من الحيوانات تعيش في المحيط,1
8358,يمكن استخدام الملابس لصنع الحلقات.,الخواتم أكثر قيمة من الملابس,الفتيات يحبون شراء الملابس والخواتم الجميلة,الخواتم مصنوعة من الماس وليس الملابس,2
8359,البشر ليسوا بحاجة لتناول الطعام للحصول على الطاقة.,يحب الناس تناول الطعام اللذيذ,تحتوي بعض الأطعمة على طاقة أكثر من غيرها,الأكل هو طريقة مهمة للبشر للحصول على الطاقة.,2
8360,النمور تعيش في المحيط,البحر غير مناسب للنمور.,سوف تأكل النمور أيضا الأسماك التي تعيش في المحيط,المحيط أكبر من النمر,0
8361,أنا بحاجة للاستحمام للتخفيف من الجوع.,"بعد التخفيف من الجوع ، استحم","بعد الاستحمام ، شعر بالجوع",الاستحمام لا يزيد من طاقة الجسم,2
8362,الحافلات بحاجة إلى الماء للتشغيل.,لا يمكن تشغيل الحافلات بالماء,يحتاج سائق الحافلة إلى شرب الماء كل يوم,يمكننا جلب الماء إلى الحافلة,0
8363,المكياج يمكن أن يجعل الفتيات أقبح,ماكياج شائع للفتاة,المكياج سيجعل الفتيات أكثر حساسية,تريد العديد من الفتيات أن يتعلمن كيفية المكياج لتغيير وجوههن القبيحة,1
8364,يمكن للسيارات السفر في السماء,السماء أكبر من السيارة,لا يمكن للسيارة الركض في السماء.,يمكننا أخذ الطائرة في السماء أو سيارة للسفر,1
8365,الأرنب شرسة جدا.,الأرانب مثل الجزر,الأرانب ليست شرسة.,بعض الحيوانات الشرسة تأكل الأرانب,1
8366,كثير من الناس يحبون شرب البنزين.,بعد شراء البنزين يشرب بعض الماء للراحة,لا يمكن استخدام البنزين للشرب,البنزين مادة خام صناعية,1
8367,سمكة البيرانا سمكة لطيفة للغاية.,سوف يأكل سمكة البيرانا بعض الأسماك اللطيفة,"يمكن لبيرانا أن يأكل الناس ، لذلك هم شرسة",الغنم حيوان رقيق.,1
8368,الملح هو اسم حيوان الأكثر شيوعًا في الحياة.,الملح ليس اسم حيوان بل بهار,تحتاج الحيوانات أيضًا إلى تناول الملح,نجد الملح في أجسام الحيوانات,0
8369,يمكن استخدام الأكواب لتناول الطعام,يمكن استخدام الأكواب للحفاظ على الطعام الذي سيأكله الناس,الكأس غير صالح للأكل.,يمكننا شراء أكواب وأطعمة للأكل في السوبر ماركت,1
8370,المحيط صالح للوجود البشري,المحيط مناسب للأشخاص للسباحة فيه,يمكن للإنسان أن يتواجد على الطعام في المحيط,لا يمكن للإنسان أن يعيش في المحيط,2
8371,تصبح البشرة القديمة ناعمة للغاية.,جلد الإنسان غني بالماء عندما يكون الناس صغارًا,كثير من الناس يريدون الحصول على بشرة ناعمة,"كلما كان الرجل أكبر سنًا ، كانت بشرته خشنة.",2
8372,شرب الكثير من الجعة يمنحك شهية,شرب الكثير من البيرة يجعل الناس يتقيؤون.,الأشخاص الذين لديهم شهية يريدون أيضًا شرب البيرة,كثير من الناس يحبون البيرة كثيرا.,0
8373,يجب تسريع القيادة عبر الرصيف,سوف يتسارع السائقون عندما لا يكون هناك أحد في الشارع,لا تسارع خلال الرصيف,لا يمكنك تجنب القيادة عبر الرصيف في المدينة,1
8374,هناك العديد من الصحاري في القطب الشمالي.,الصحراء قاحلة جدا.,هناك العديد من الصحاري البعيدة عن القطب الشمالي,القطب الشمالي مليء بالثلج ولكن ليس بالرمل.,2
8375,"عندما تشعر بالبرد ، يجب أن تقطع الملابس.",لم ترتد ملابس كافية حتى شعرت بالبرد اليوم,قطعت الملابس لأنها لم تشعر بالبرد,الملابس القليلة ستجعلها أكثر برودة,2
8376,هناك العديد من الحيوانات في دائرة الترفيه.,سيحب الأشخاص في دائرة الترفيه أيضًا الحيوانات الصغيرة,الحيوانات لا تنتمي إلى دوائر الترفيه,بعض الناس في دائرة الترفيه يدعون الجمهور لحماية الحيوانات,1
8377,الصوف يأتي من القص.,يمكن تحويل الصوف إلى ملابس.,القص لا ينتج الصوف,نستخدم القص لقص الصوف,1
8378,"هذا الفستان رخيص للغاية ، لذلك لا يمكنني تحمله.","بعض الفساتين رخيصة ، والبعض الآخر غالي الثمن","الملابس غير مكلفة ، لذا يجب أن أكون قادرة على تحملها.",يمكن للكثير من الناس تحمل الثوب الرخيص,1
8379,طعم الليمون حلو جدا.,كثير من الناس يحبون تناول الفاكهة الحلوة.,الليمون فاكهة حمضية.,يستخدم الليمون في بعض الأحيان لتخفيف الحلوى,1
8380,لون البحر أحمر.,هناك بعض الأسماك الحمراء التي تعيش في البحر,العديد من الشعاب المرجانية التي تعيش في البحر حمراء,"بسبب انعكاس الضوء ، البحر أزرق ولكن ليس أحمر",2
8381,يمكن أن يوفر السخان بيئة درجة حرارة منخفضة,يمكن أن يوفر السخان الحرارة فقط ولكن ليس درجة حرارة منخفضة,يمكن استخدام السخان لتسخين بيئة درجة حرارة منخفضة,"عندما تشعر أن درجة الحرارة منخفضة للغاية ، تحتاج إلى تشغيل المدفأة",0
8382,يمكننا الذهاب للسباحة في الفصل,يمكن أن تجعلك السباحة أقوى,"لا يوجد حمام سباحة في الفصل ، لذلك لا يستطيع الناس تعلم السباحة","بعد أخذ دورة في الفصل الدراسي ، ذهب الطلاب للسباحة مع الأصدقاء",1
8383,يحب العديد من الأشخاص إجراء مكالمات هاتفية باستخدام الطوب.,اتصل بصديقه على الهاتف وتحدث عن سعر الطوب,لا يمكن استخدام الطوب لإجراء مكالمات هاتفية,الهواتف المحمولة أغلى من الطوب.,1
8384,تحب السفر عن طريق الهاتف المحمول.,"أثناء السفر ، يجب على الناس إحضار هواتفهم المحمولة",كثير من الناس يحبون استخدام الهاتف المحمول والسفر,يمكن استخدام الهواتف المحمولة فقط للاتصال,2
8385,يمكنك تغيير الشمس والسماح بدخول أشعة الشمس.,لا يمكن نقل الشمس من قبل الناس,يمكن للناس تغيير الستارة لتجنب أشعة الشمس,كثير من الناس يحبون النوم تحت أشعة الشمس,0
8386,يجب عليك الذهاب إلى الطاهي عندما تكون مريضا.,عمل كوك هو الطهي ولكن لا يعالج المرض,يجب على الناس عدم الطهي عندما يكونون مرضى,الطاهي مريض لذلك أغلق المطعم,0
8387,هناك العديد من الأرانب البيضاء الصغيرة تطفو في السماء.,الأرنب الأبيض الصغير لطيف للغاية.,يبدو الأرنب الأبيض الصغير مثل الغيوم ولكنه لا يستطيع أن يطفو في السماء,كلا الغيوم والأرانب بيضاء,1
8388,يمكننا أن نأكل الطعام من الكتب.,"بعد القراءة ، تناول بعض الطعام",هناك كتب عن الطعام,لا يوجد طعام في الكتاب.,2
8389,يمكن استخدام البنزين لإخماد الحرائق.,يمكن أن يتسبب انفجار البنزين في نشوب حريق,يجب أن نبقي النار بعيداً عن البنزين,البنزين سيجعل النار تحترق أكثر,2
8390,مقهى الإنترنت هو مكان جيد للتعلم,بيئة مقاهي الإنترنت صاخبة للغاية وغير مناسبة للتعلم.,هناك العديد من أجهزة الكمبيوتر في مقهى الإنترنت.,"بعد التعلم ، ذهب إلى مقهى الإنترنت للحصول على قسط من الراحة",0
8391,الكعكة الطازجة طعمها فظيع.,الكعك مصنوع من الخبز والزبدة.,الكعكة القديمة طعمها فظيع,الكعكة الطازجة حلوة ولذيذة.,2
8392,تعتبر الفيلة من أهم الاختراعات البشرية.,يخترع الناس بعض الأدوات لفرائسة الفيلة,الفيلة ليست اختراعًا بل حيوانًا,الفيلة مهمة جدًا للإنسان.,1
8393,يمكن للناس الاستمتاع في الشركة.,يجب أن يعمل الناس في الشركة.,هناك شركات تنتج ألعابًا يمكن للأطفال الاستمتاع بها.,يمكن للناس الاستمتاع مع زملائهم في شركاتهم بعد العمل.,0
8394,الديناصورات لا تزال موجودة اليوم.,ماتت الديناصورات منذ فترة طويلة.,كانت الديناصورات موجودة من قبل.,توجد بعض أحافير الديناصورات اليوم.,0
8395,لدي خمسة أرجل.,البشر لديهم خمسة أصابع في كل يد.,كل شخص لديه أرجل.,البشر لديهم ساقان.,2
8396,يمكنني تسخين الطعام في الغسالة.,يمكنني تسخين الطعام بعد استخدام الغسالة.,الغسالة هي جهاز كهربائي لغسل الملابس.,الغسالة سهلة التشغيل.,1
8397,أوراق القيقب خضراء في الخريف.,أوراق القيقب خضراء في الربيع.,أوراق القيقب تتغير من الأخضر إلى الأحمر في الخريف.,بعض الأوراق حمراء في الخريف.,1
8398,واجب الجندي هو التدريس والتعليم.,يمكن تعليم الجنود وتعليمهم.,إن واجب المعلمين هو التدريس والتعليم.,كل جندي يعرف واجبه.,1
8399,يمكن للناس الذهاب إلى الفضاء بالطائرة.,هناك بعض مقاعد الفضاء على متن الطائرة.,لا يستطيع الناس الذهاب إلى الفضاء مباشرة.,لا يوجد هواء في الفضاء لذا لا تستطيع الطائرة التحليق هناك.,2
