id,sentence1,sentence2,label
8092,يستطيع توم البالغ من العمر 8 سنوات قيادة الطائرة بالفعل,يستطيع توم البالغ من العمر 8 سنوات ركوب الدراجة بالفعل,1
8093,النعناع يمكن أن يربك العقل,النعناع يمكن أن ينعش العقل,1
8094,القمح الناضج ذهبي,القمح الناضج أخضر,0
8095,زود دراجته بالوقود,زود سيارته بالوقود,1
8096,يمكن قراءة التفاح فقط,يمكن أن يكون التفاح أحمر,1
8097,الورود ليست حمراء فقط,الورود حمراء..,0
8098,الفئران تأكل القطط,القطط تأكل الفئران,1
8099,ينمو اللوتس في الماء.,ينمو اللوتس في التربة.,0
8100,الجبن هو نوع من منتجات الصويا.,الجبن منتج ألبان.,1
8101,لا يمكن للهواء أن يساعد في الاحتراق.,يمكن أن يساعد الهواء على الاحتراق.,1
8102,لا يمكن حرق الخشب.,يمكن أن يحترق الخشب.,1
8103,عادم السيارة ضار بالجو.,عادم السيارة ليس له تأثير سلبي على الغلاف الجوي.,0
8104,علو الهضبة مرتفع جداً.,ارتفاع الهضبة منخفض للغاية.,0
8105,ذيل الكنغر لا طائل منه,ذيل الكنغر مفيد,1
8106,القطط لا تمارس الجنس,ديدان الأرض ليس لها جنس,1
8107,يمكن للهاتف المحمول إجراء مكالمات هاتفية,لا يمكن للهاتف المحمول إجراء مكالمات هاتفية,0
8108,الكونفوشيوسية جزء مهم من الثقافة الصينية,الكونفوشيوسية جزء مهم من الثقافة الأمريكية,0
8109,يمكن غلي الماء في حالة معينة,لا يمكن غلي الماء في أي حالة,0
8110,الماء النقي ليس غازًا,الماء النقي غاز,0
8111,ينمو العنب على الأشجار,ينمو العنب على الكرمة,1
8112,هناك أسماك في النهر,لا يمكن أن يكون هناك سمك في النهر,0
8113,النبيذ مصنوع من الموز,إنّ النبيذ يُصنع من العنب ...,1
8114,درجة حرارة الشتاء في الشمال منخفضة للغاية,درجة حرارة الشتاء في الشمال مرتفعة للغاية,0
8115,الأظافر لا تنمو أبداً,الأظافر تنمو دائمًا,1
8116,الحليب مفيد للصحة,الحليب ضار بالصحة,0
8117,يمكن أن يطهر الكحول الجرح,لا يمكن للكحول تطهير,0
8118,يمكن أن يتصور الثيران,الثيران لا يمكن تصورها,1
8119,لا تبقي عينيك قريبة جدًا من الشاشة عند مشاهدة التلفزيون,"كلما اقتربت عينيك من الشاشة ، كان ذلك أفضل",0
8120,يمكن للقمر إنتاج الضوء,لا يستطيع القمر إنتاج الضوء,1
8121,يتعرق الناس عندما يكونون باردين,يتعرق الناس عندما يكونون ساخنين,1
8122,سيتصلب المطاط بمرور الوقت,المطاط لا يصلب,0
8123,من المريح أكثر الجلوس على كرسي بدون ظهر,من المريح أكثر الجلوس على كرسي بظهر,1
8124,تتولد الشرر بسهولة عندما تخلع سترتك في الشتاء,لا يوجد أي شرارة عندما تخلع سترتك في الشتاء,0
8125,يشعر الناس بالقوة عندما يصابون بالبرد,يشعر الناس بالضعف عندما يصابون بالبرد,1
8126,تستخدم الوعاء للطهي,تستخدم سلة المهملات للطهي,0
8127,يوجد البعوض في الليل أكثر من النهار,يوجد البعوض في النهار أكثر من الليل,0
8128,الثلج الأبيض,الثلج أحمر,0
8129,افتح النافذة عندما تستيقظ في الصباح,افتح الجدار عندما تستيقظ في الصباح,0
8130,دم الإنسان أخضر,دم الإنسان أحمر,1
8131,أزهار الشتاء في الصيف,أزهار الشتاء والشتاء في الشتاء,1
8132,الخيزران صلب,الخيزران أجوف,1
8133,يمكن فتح الأبواب بدون مفتاح عند قفلها,لا يمكن فتح الأبواب بدون المفتاح عندما تكون مغلقة,1
8134,يمكن استخدام الغراء في لصق الأشياء,لا يمكن استخدام الغراء في لصق الأشياء,0
8135,الأهرامات لا تستخدم للعيش,تستخدم الأهرامات للعيش,0
8136,استيقظ في الصباح الباكر وافتح النافذة لحجب الهواء النقي,استيقظ في الصباح الباكر وافتح النافذة للسماح بدخول الهواء النقي,1
8137,الينابيع الساخنة ساخنة,الينابيع الساخنة متجمدة,0
8138,يمكن للمنشفة أن تجفف الماء على جسمك,لا يمكن للمنشفة أن تجفف الماء على جسمك,0
8139,البلاستيك لا يتغير عند التعرض لأشعة الشمس,يصبح البلاستيك هشًا عند تعرضه لأشعة الشمس,1
8140,يمكن أن يطفو المبنى على الماء,يمكن للقارب أن يطفو على الماء,1
8141,كان طريق الحرير معبداً بالحرير,لم يكن طريق الحرير مرصوفًا بالحرير,1
8142,لا تزال هناك ديناصورات حية في العالم,لم تعد هناك ديناصورات حية في العالم,1
8143,لا يقطع قطع التفاح اللون عند تعريضه في الهواء لفترة طويلة,يتحول قطع التفاح إلى اللون الأصفر عند تعريضه للهواء لفترة طويلة,1
8144,التدخين ليس له تأثير على الصحة,التدخين سيء لصحتك,1
8145,البوم لها رقاب شديدة للغاية,البومة يمكن أن تحرك رقبتها للخلف,1
8146,أكبر منطقة على وجه الأرض هي المحيط,أكبر مساحة على وجه الأرض هي الأرض,0
8147,اللسان لا يذوق,يمكن اللسان طعم,1
8148,خوخ العسل ليس خوخًا,خوخ العسل خوخ,1
8149,لا يتم تحديد المظهر البشري فقط عن طريق الجينات,يتم تحديد المظهر البشري فقط من خلال جيناتهم,0
8150,يمكن استخدام ملح الطعام للتتبيل,لا يمكن استخدام ملح الطعام في التوابل,0
8151,طعم السكر والملح مختلف,طعم السكر والملح هو نفسه,0
8152,"عندما لا يكون هناك ماء عند العطش ، يمكنك استخدام الزيت بدلاً من ذلك.","عندما لا يكون هناك ماء عند العطش ، يمكنك استخدام الزيت بدلاً من ذلك.",1
8153,يجب أن يكون الزجاج شفافًا,يمكن أن يكون الزجاج شفافًا,1
8154,تستخدم المقص لقص الورق,تستخدم قلمًا لقص الأوراق,0
8155,العمة أنثى,العمة ذكر,0
8156,تقوم العدسة المكبرة بتكبير رؤية الأشياء,عدسة مكبرة تضخيم رؤية الأشياء,1
8157,رجل له ساقان,الرجل له أربع أرجل,0
8158,تنمو الرموش فوق العينين,تنمو الرموش فوق الفم,0
8159,يمكن للأشخاص العاديين التمييز بين الألوان,يمكن للأشخاص العاديين رؤية الأسود والأبيض فقط,0
8160,لديريان رائحة,دوريان ليس له رائحة,0
8161,الباندا ملونة من الخارج,الباندا لها لونان فقط على مظهرها,1
8162,يعيش فرس البحر في المراعي,يعيش فرس البحر في البحر,1
8163,يمكن للجسم أن يتعرق من خلال الجلد,يمكن للجسم أن يتعرق فقط من خلال اللسان,0
8164,سطح البطيخ المر ليس ناعما,البطيخ المر ذو سطح أملس,0
8165,البطيخ بدون بذور ليس له بذور,البطيخ بدون بذور ليس له ثمار,0
8166,الطيور تستطيع الطيران,يمكن للطيور الطيران فقط,0
8167,السناجب لها ذيول صغيرة جدًا,السناجب لها ذيول كبيرة جدًا,1
8168,سوف تسقط الأوراق,لن تسقط الأوراق,0
8169,لم تسلط الأفاعي جلودها,تسلل الثعابين جلودها وهي تنمو,1
8170,طفل في الـ12 من عمره يسبح,الناس لا يتثاءبون,0
8171,تمشي الثعابين على أقدامها,الثعابين لا تمشي على أقدامهم,1
8172,يتحول شعر الناس إلى اللون الأبيض عندما يكبرون,سيظل شعر الناس أسود عندما يكبرون,0
8173,النعام لا يمكنه الطيران.,النعام يمكن أن يطير,0
8174,الشتاء في أنتاركتيكا أبرد من الشتاء في أستراليا,الشتاء في القارة القطبية الجنوبية أكثر دفئًا من الشتاء في أستراليا,0
8175,ينفجر كل بركان,بعض البراكين لا تندلع,1
8176,سنام الجمل لا فائدة منه,سنام الجمل مفيد,1
8177,هناك القليل من النباتات في الصحراء,هناك العديد من النباتات الخضراء في الصحراء,0
8178,ستسقط الغيوم على الأرض,الغيوم لا تسقط على الأرض,1
8179,الغيوم ليست صلبة,الغيوم صلبة,0
8180,إن مد البحر لا يرتفع أو ينخفض,المد البحري يرتفع وينخفض في بعض الأحيان,1
8181,الشمس كرة نارية,الشمس كرة مثلجة,0
8182,الأرض كرة,الأرض مكعب,0
8183,يمكن للأسماك أن تطفو وتغرق في الماء,لا يمكن للأسماك أن تطفو أو تغرق في الماء,0
8184,ستقفز الأسماك من الماء قبل أن يغرق المخزون,تقفز الأسماك من الماء قبل أن تمطر,1
8185,النعام لا تلصق رؤوسها في الرمال,تلتصق النعام دائمًا برؤوسها في الرمال,1
8186,تصطف الأوز البري عند الطيران,تصطف الفراشات عند الطيران,0
8187,يمكن للسكر أن يفسد الأسنان,يمكن أن يحلل السكر العمود الفقري,0
8188,يتكثف البخار في الماء عندما تنخفض درجة الحرارة,يتبخر الماء إلى بخار عندما تنخفض درجة الحرارة,0
8189,هوسه بالكحول جلب له صحة سيئة,هوسه بالرياضة جلب له صحة سيئة,0
8190,أصبحت المباني في العاصمة أطول من أي وقت مضى,أصبحت الأشجار في العاصمة أطول من أي وقت مضى,0
8191,تم طرده لأنه نجح في تلبية متطلبات الشركة,تم طرده لأنه فشل في تلبية متطلبات الشركة,1
8192,رفعت طوقي ضد الريح للتدفئة,رفعت طوقي ضد الضباب للتدفئة,0
8193,تم تصميم هذا الجهاز لتحويل المنتجات القابلة للاستخدام إلى النفايات,تم تصميم هذا الجهاز لتحويل النفايات إلى منتجات قابلة للاستخدام,1
8194,السنجاب سيصنع مخزن المكسرات لفصل الشتاء,السنجاب سيصنع مخزنًا للأوراق الشتوية,0
8195,غالباً ما يزحف الأطفال على الأرض قبل أن يتعلموا المشي,غالبًا ما يمشي الأطفال على الأرض قبل أن يتعلموا الزحف,0
8196,لقد وضع نفسه تحت ضغط لا داعي له ويحتاج إلى ممارسة الرياضة برفق,لقد وضع نفسه تحت ضغط لا داعي له ويحتاج إلى ممارسة الرياضة بقوة,0
8197,لم يشرب في الحفلة لذا فهو رصين بما يكفي ليقودنا إلى المنزل,كان يشرب كثيرًا في الحفلة لذا فهو رصين بما يكفي ليقودنا إلى المنزل,0
8198,الفتاة الصغيرة التي نسيت إحضار المعطف مرتجف في الجو الدافئ,الفتاة الصغيرة التي نسيت إحضار معطف يرتجف في البرد,1
8199,يمكن أن يوفر السد ضد الفيضان,يمكن أن يوفر القارب ضد الفيضان,0
8200,يأكل الخبز القديم على الفطور كل يوم,يأكل الخبز الطازج على الفطور كل يوم,1
8201,غالبًا ما يضيع السائق المخضرم,غالبًا ما يضيع سائق مبتدئ,1
8202,النادل أحضر لنا المشروبات بمنشفة,أحضر لنا النادل المشروبات بصينية,1
8203,"الصبي ، الذي سرق كتابا ، طارده صاحب المتجر","الصبي ، الذي يشتري كتابًا ، طارده صاحب المتجر",0
8204,يجب على المرضى الذين يعانون من ارتفاع ضغط الدم تقليل تناول الملح اليومي,يجب على المرضى الذين يعانون من ارتفاع ضغط الدم زيادة تناول الملح اليومي,0
8205,من الحقائق الشائعة أن الأولاد أكثر ذكاءً من الفتيات,من الشائع أن الفتيان هم أذكى من الفتيات,1
8206,تذبذب وزني بشكل كبير اعتمادًا على مقدار ما أكلته,تذبذب وزني بشكل كبير اعتمادًا على طول شعري,0
8207,اغمس شعرك لترى مدى سخونة الماء,اغمس يدك لترى مدى سخونة الماء,1
8208,المطر سوف يدمر الغابات,المطر الحمضي سيدمر الغابات,1
8209,يشكل الاحتباس الحراري تهديدًا للعديد من الأنواع النادرة على الأرض,يشكل نقص الطاقة تهديدًا للعديد من الأنواع النادرة على الأرض,0
8210,دفع بقوة على دواسة التسارع لتجنب الاصطدام,دفع بقوة على دواسة الفرامل لتجنب الاصطدام,1
8211,غسل سيارته مع أشعل النار في الحديقة,قام بغسل سيارته بخرطوم الحديقة,1
8212,أخذنا الأطفال إلى قفص الاتهام لرؤية السفن,أخذنا الأطفال إلى حديقة الحيوانات لرؤية السفن,0
8213,جمعنا قذائف على الشاطئ,جمعنا قذائف على العشب,0
8214,اشترت أمي الأريكة في شركة الطاقة الكهربائية,اشترت أمي الأريكة من المتجر,1
8215,الآن يتم توجيه العديد من الطلاب نحو مواضيع العلوم,الآن يجب على العديد من الطلاب اختيار المواد العلمية,0
8216,"والده رجل أعمال ثري ، لذا فهو قلق دائمًا بشأن المال","والده رجل أعمال ثري ، لذلك لا يقلق بشأن المال",1
8217,دمر إعصار قوي المدينة,نسيم لطيف دمر المدينة,0
8218,تذكروا الأيام الخوالي معا,تذكروا الأيام الجيدة في المستقبل معا,0
8219,كان هناك الكثير من الناس لدرجة أنني اضطررت للانضمام إلى قائمة انتظار المراحيض,كان هناك الكثير من الناس لدرجة أنني اضطررت إلى القفز في طابور المرحاض,0
8220,سوء الأحوال الجوية يجعل ازدحام المرور أفضل,سوء الأحوال الجوية يجعل ازدحام المرور أسوأ,1
8221,"عند أكل السمك ، قم بإزالة لحم السمك","عند تناول السمك ، قم بإزالة عظام السمك",1
8222,يقدم البائعون دائمًا مزايا منتجاتهم للعملاء,يقدم البائعون دائمًا عيوب منتجاتهم للعملاء,0
8223,"تجاوزت نفقات هذا الشهر الحد ، لذلك يمكننا تناول الطعام في المطعم للمرة التالية","تجاوزت نفقات هذا الشهر الحد ، لذلك يمكننا تناول الطعام في المنزل فقط في المرة القادمة",1
8224,من السهل البحث عن إبرة في كومة القش,من الصعب البحث عن إبرة في كومة القش,1
8225,"إذا كانت يديك متسختين ، يمكنك مسحهما بمنديل","إذا كانت يديك متسختين ، فيجب مسحهما بمنديل",0
8226,لأنه سيكون من الخاطئ أن تقود و أنت تشرب,من الصحيح أن تشرب وتقود,0
8227,يمكن نقار الخشب نقف بين الأشجار,يمكن أن تقفز القرود بين الأشجار,1
8228,إنه الصيف وقليل من الزهور تتفتح,إنه الصيف والعديد من الزهور تتفتح,1
8229,تتفتح أزهار البرقوق في الشتاء,تتفتح أزهار البرقوق في الصيف,0
8230,يمكن تناول البطيخ في الصيف,لا يمكن تناول البطيخ في الصيف,0
8231,عادة ما تأتي أقواس قزح بعد المطر,تظهر أقواس قزح عادة في المساء,0
8232,طعم الطماطم جيد عندما تكون طازجة,طعم الطماطم جيد عندما تكون قديمة,0
8233,الأبقار من الحيوانات العاشبة,الأبقار تأكل اللحم,0
8234,استخدم المصعد عند نشوب حريق,لا تستخدم الدرج عندما يكون هناك حريق,1
8235,تحب والدها وتريد الزواج منه,تحب صديقها وتريد الزواج منه,1
8236,إنه سعيد للغاية ليقول مرحبًا لمعلمه,إنه خجول للغاية ليقول مرحبًا لمعلمه,1
8237,يجب ان تذهب للمدرسة,يجب ان تذهب للمدرسة,0
8238,من الصحيح مواجهة العقوبة عندما تفعل شيئًا خاطئًا,من الصحيح أن تهرب عندما تفعل شيئًا خاطئًا,0
8239,أن الرجل يحب ان يلعب الشطرنج,يحب الرجل العجوز الذهاب للغوص,0
8240,لا يمكننا التدخين في الأماكن العامة,يجب أن ندخن في الأماكن العامة,0
8241,يمكن أن يولد الإنسان مرة أخرى,لا يمكن أن يولد الإنسان مرة أخرى,1
8242,يمكنك الحصول على النجاح إذا عملت بجد,يجب أن تحصل على النجاح إذا عملت بجد,0
8243,جميع البعوض يمتص الدم,ليس كل البعوض يمتص الدم,1
8244,يمكنك أخذ أشياء الآخرين دون إذن,لا تأخذ أشياء الآخرين بدون إذن,1
8245,إن تناول الكثير من السكر لا يمكن أن يجعل الناس سمينين,تناول الكثير من السكر يمكن أن يجعل الناس سمينين,1
8246,لا يجب أن يمتثل المشاة لأنظمة المرور,يجب على المشاة الالتزام بقواعد المرور,1
8247,يمكن للجنس الآخر أن يتزوج في هذا العالم.,لا يمكن الزواج من نفس الجنس في هذا العالم.,0
8248,لا يمكن للطلاب تناول الطعام في الصف.,يمكن للطلاب تناول الطعام في الصف.,0
8249,الانسجام العائلي جيد لنمو الأطفال.,الخلاف العائلي جيد لنمو الأطفال.,0
8250,يمكنني صنع رجل ثلج في الشتاء.,يمكنني صنع رجل ثلج في الصيف.,0
8251,يمكننا رؤية النجوم في وضح النهار.,يمكننا رؤية النجوم في الليل.,1
8252,يمكن للأشخاص الذين تزيد أعمارهم عن 20 عامًا أن يتزوجوا.,يجوز للقصر الزواج.,0
8253,أم الضفدع هي ضفدع.,أم الشراغف هي شرابه.,0
8254,يحمل الناس مظلات في أيام عاصفة.,يأخذ الناس المظلات في الأيام الممطرة.,1
8255,غالبًا ما تحدث الأعاصير الداخلية.,غالبًا ما تحدث الأعاصير في المناطق الساحلية.,1
8256,القمر لا يمكن أن يلمع من تلقاء نفسه.,القمر يمكن أن يلمع من تلقاء نفسه.,0
8257,ينام الناس دائمًا أثناء النهار.,ينام الناس دائما في الليل.,1
8258,توقف عند الضوء الأصفر عند القيادة.,توقف عند الضوء الأحمر عند القيادة.,1
8259,السكاكين آمنة للأطفال الصغار.,السكاكين خطرة على الأطفال الصغار.,1
8260,أفلام الرعب تجعل الناس يشعرون بالخوف.,الدراما تجعل الناس يشعرون بالخوف,0
8261,كثرة السكر ضارة بأسنانك.,الكثير من السكر مفيد لأسنانك.,0
8262,يمكننا الحصول على شعر على الإفطار.,يمكننا تناول البيض على الفطور.,1
8263,الطيور جيدة في السباحة.,الأسماك جيدة في السباحة.,1
8264,نرى بأذنينا.,نرى بأعيننا.,1
8265,لا يمكنك القيادة بعد الشرب.,يمكنك القيادة بعد الشرب.,0
8266,لا يمكن أن ترمش السمكة الذهبية.,يمكن أن تومض ذهبية.,0
8267,الريش خفيف للغاية.,الثلاجة خفيفة للغاية.,0
8268,يمكن إعادة الزمن.,لا يمكن إعادة الزمن.,1
8269,يمكن للمال أن يشتري كل شيء.,يمكن للمال أن يشتري لك ما تريد.,1
8270,الشدائد تجعل الإنسان ينمو.,الازدهار يجعل الناس ينمون.,0
8271,الصيف حار جدا على ارتداء حزام عزى.,الصيف حار جدا على ارتداء المعاطف.,1
8272,يمكنك الذهاب إلى الصيدلية لشراء الطعام.,يمكنك الذهاب إلى السوبر ماركت لشراء الطعام.,1
8273,الناس يلعبون كرة القدم في ملعب كرة السلة.,الناس يلعبون كرة القدم في ملعب كرة القدم.,1
8274,المعلمين مثل الطلاب مع درجات جيدة.,المعلمين مثل الطلاب ذوي الدرجات الفقيرة.,0
8275,يمكنني القيام بواجباتي مع الطباشير.,يمكنني أن أقوم بواجبي المنزلي بقلم.,1
8276,جعل توم الكثير من الأصدقاء بسبب انبساطه.,قام توم بتكوين الكثير من الأصدقاء لأنه كان انطوائيًا للغاية.,0
8277,هناك العديد من الغيوم في السماء.,هناك العديد من الغيوم في البحر.,0
8278,أنا سعيد لأنني حصلت على 100 في اختبار اللغة الإنجليزية.,أنا حزين أنني حصلت على 100 في اختبار اللغة الإنجليزية.,0
8279,يمكن للناس القراءة في الشمس.,يجب أن يقرأ الناس في الشمس دائمًا.,0
8280,أتناول الكثير من الخضار كل يوم من أجل صحتي.,أتناول الكثير من الوجبات السريعة كل يوم لصحتي.,0
8281,تعمل الشرطة في مركز الشرطة.,يعمل الطبيب في مركز الشرطة.,0
8282,"عندما وصلنا إلى محطة السكة الحديد ، كانت الطائرة تحلق بعيدًا.","عندما وصلنا إلى محطة السكة الحديد ، كان القطار قد غادر بالفعل.",1
8283,"من أجل حماية البيئة ، يجب على الناس قيادة المزيد من السيارات.","من أجل حماية البيئة ، يجب على الناس ركوب المزيد من الدراجات.",1
8284,الحيتان هي حيوانات تضع البيض.,التماسيح هي حيوانات تضع البيض.,1
8285,يمكن للكلاب تناول الشوكولاته.,الكلاب لا تستطيع أكل الشوكولاتة.,1
8286,أستطيع رؤية الطقس في الخارج من خلال النافذة.,أستطيع رؤية الطقس بالخارج من خلال الحائط.,0
8287,البطيخ رخيص في الصيف.,البطيخ رخيص في الشتاء.,0
8288,ذهب اتحاد قطع الأشجار إلى الغابة لقطع الأشجار.,ذهب اتحاد قطع الأشجار إلى المراعي لقطع الأشجار.,0
8289,يمكن تشغيل القطارات على القضبان.,يمكن للسيارات أن تعمل على القضبان.,0
8290,البرد مرض عضال.,البرد مرض قابل للشفاء.,1
8291,لعب كرة السلة يجب أن يرتدي النعال,لعب كرة السلة يجب أن يرتدي حذاء كرة السلة,1
8292,نتائج الامتحانات مهمة جدا للطلاب.,نتائج الامتحانات ليست مهمة للطلاب.,0
8293,يحتاج الإنسان لاستعادة قوته من خلال ممارسة الرياضة.,يحتاج البشر إلى استعادة قوتهم بالنوم.,1
8294,قلب الإنسان يستريح دائمًا.,قلب الإنسان ينبض طوال الوقت.,1
8295,يحتاج الجنود في كثير من الأحيان إلى الخضوع لتدريب شاق.,غالبًا ما يحتاج الجنود إلى تدريب سهل.,0
8296,سوف تختفي الشمس أيام غائمة,لا تزال الشمس موجودة في الأيام الملبدة بالغيوم,0
8297,شرب الكثير من المشروبات سيئ لصحتك.,شرب الكثير من المشروبات مفيد لصحتك.,0
8298,فحم الكوك هو مشروب عصير فواكه.,فحم الكوك مشروب غازي.,1
8299,يجب أن يتعارض الناس مع بعضهم البعض.,يجب أن يفهم الناس بعضهم البعض,1
8300,تحتاج إلى شراء التذاكر عند ركوب القطار.,لا تحتاج إلى شراء التذاكر عند ركوب القطار.,0
8301,واجب الطبيب حماية عائلته ووطنه.,واجب الطبيب هو إنقاذ الأرواح والإصابات.,1
8302,المد والجزر ظاهرة طبيعية,المد هو سلوك مصطنع.,0
8303,الكل يريد أن يكون قبيحاً.,كل الناس تحب أن تبدو جميلة.,1
8304,الذئب حيوان لطيف للغاية.,الذئب حيوان شرس للغاية.,1
8305,البترول مصدر طاقة غير متجدد,البترول مصدر للطاقة المتجددة,0
8306,يعمل البشر عادة أثناء النهار وينامون ليلاً.,ينام البشر عادة أثناء النهار ويعملون ليلاً.,0
8307,الديناصورات هي أسلاف البشرية,القرود هي أسلاف البشر.,1
8308,تعتبر مدينة الملاهي مكانًا جيدًا للعب.,متنزه هو مكان جيد للنوم.,0
8309,تمتص الأشجار العناصر الغذائية من خلال جذورها,تمتص الأشجار العناصر الغذائية عن طريق الأكل,0
8310,ضغطت الكاتشب على الخبز.,لقد ضغطت الطماطم على الخبز.,0
8311,اختراع الطائرات عطل حياة الناس.,لقد سهل اختراع الطائرات حياة الناس.,1
8312,يجب على الجميع أن يكونوا مهذبين بسيارة إسعاف.,يجب على الجميع منع سيارات الإسعاف,0
8313,العسل هو العصير الذي تفرزه النحلة.,العسل هو العصير الذي يفرزه النحل.,1
8314,يتكون الماس من الكربون.,الماس مصنوع من عناصر معدنية.,0
8315,يمكن للخضروات أن تزود الناس بالكثير من الدهون.,يمكن للخضروات أن تزود الناس بالفيتامينات الغنية.,1
8316,القمر دائري دائمًا.,القمر سوف يتشقق أو يتلاشى,1
8317,يمكن انتهاك أراضي كل بلد,أراضي كل دولة مصونة,1
8318,للكون كوكب واحد فقط هو الأرض.,الكون يحتوي على العديد من الكواكب.,1
8319,يسرق اللصوص أذرع الناس,يسرق اللصوص أموال الناس,1
8320,الموسيقى صوت جميل جدا.,الموسيقى صوت سيء للغاية.,0
8321,الوشاح هو نوع من الحفاظ على الدفء,وشاح ما هو إلا مادة زخرفية.,0
8322,الثلاجة تسرع من تدهور الطعام,تمنع الثلاجات الطعام من التلف,1
8323,الحيتان هي أكبر الثدييات في العالم,الإنسان هو أكبر حيوان ثديي في العالم.,0
8324,الأسماك حيوانات بدم بارد.,الأرانب حيوانات بدم بارد.,0
8325,يمكن للقاصرين شراء السجائر,لا يسمح للقاصرين بشراء السجائر,1
8326,صالة الألعاب الرياضية مكان جيد لتناول الطعام.,صالة الألعاب الرياضية هي مكان جيد للرياضة.,1
8327,أحب البطيخ كثيرًا لأنه مزعج للغاية.,أحب البطيخ كثيرًا لأنه لذيذ جدًا.,1
8328,"إنه رجل أناني ، لذلك فهو يتمتع بشعبية كبيرة.","إنه شخص عاطفي ، لذلك فهو يتمتع بشعبية كبيرة.",1
8329,أعصر الزيت على الخبز على الفطور,ضغطت صلصة الطماطم على الخبز لتناول الإفطار,1
8330,المحرك البخاري هو أهم سجل في تاريخ البشرية.,المحرك البخاري هو أحد أهم الاختراعات في تاريخ البشرية.,1
8331,تأخر بيتر خمس دقائق للحاق بالحافلة الأخيرة.,تأخر بيتر خمس دقائق عن الحافلة الأخيرة.,1
8332,الفقراء أغنياء للغاية.,الأغنياء أغنياء جدا.,1
8333,البيانو هو أحد أدواتي المفضلة.,كرة السلة هي إحدى أدواتي المفضلة.,0
8334,يمكننا الذهاب إلى الحلاق للحصول على قصة شعر.,يمكننا الذهاب إلى الحلاقين لتناول العشاء.,0
8335,يحب استكشاف البحر سيرا على الأقدام.,يحب استكشاف الجبال سيرًا على الأقدام.,1
8336,يمكن أن ينتقل الصوت في الهواء.,يمكن أن ينتقل الصوت في فراغ.,0
8337,كان الإمبراطور أقوى رجل في العصور القديمة.,عامة الناس هم أقوى الناس في العصور القديمة,0
8338,الهواتف المحمولة هي وسيلة اتصال محمولة,الهواتف المحمولة هي وسيلة نقل محمولة,0
8339,من الخطورة عبور الطريق,عبور الطريق آمن للغاية.,0
8340,يجب أن يكون لدى الجميع جودة من الصدق.,يجب أن يكون لدى الجميع نوعية من الخداع.,0
8341,القبعة هي جهاز وقائي,القبعة مجرد زخرفة,0
8342,العين هي العضو الذي يجب رؤيته,الأذن هي العضو الذي يجب رؤيته,0
8343,الصداقة غذاء مهم,الصداقة عاطفة مهمة,1
8344,عادات حياة كل شخص مختلفة.,عادات حياة الجميع هي نفسها.,0
8345,يحتاج الناس إلى ارتداء أكمام قصيرة في الشتاء لمقاومة البرد.,يحتاج الناس إلى ارتداء الملابس في الشتاء لمقاومة البرد.,1
8346,أنماط مختلفة من الملابس يمكن أن تعطي الناس مشاعر مختلفة.,ستعطي أنماط الملابس المختلفة الناس نفس الشعور.,0
8347,تحتاج السفن للإبحار في البحر.,تحتاج السفن للسفر على الأرض.,0
8348,الكثير من الكحول مفيد لصحتك.,الكثير من الكحول ضار بصحتك.,1
8349,يمكن للسائقين الذين ليس لديهم رخصة قيادة القيادة على الطريق.,يمكن للسائقين الذين يحملون رخصة قيادة القيادة على الطريق.,1
8350,يمكن شغل ممرات الطوارئ على الطرق السريعة,لا يجب أن تشغل ممرات الطوارئ على الطرق السريعة,1
8351,هناك العديد من النباتات في الصحراء.,هناك العديد من النباتات في الواحة.,1
8352,يجب أن تركض عندما تشعر بالتعب.,يجب أن تأخذ قسطًا من الراحة عندما تشعر بالتعب.,1
8353,هناك العديد من الفصول الدراسية في المدرسة.,هناك العديد من الديناصورات في المدرسة.,0
8354,يجب أن تكون الأحذية على الحظيرة,يجب أن تكون الأحذية على الرف,1
8355,يمكن للناس قطف التفاح من الأشجار.,يمكن للناس أن يقطفوا الفراولة من الأشجار.,0
8356,البلاستيك صعب للغاية.,الصلب صعب للغاية.,1
8357,يمكن أن تعيش الخنازير في المحيط.,يمكن أن تعيش الأسماك في المحيط,1
8358,يمكن استخدام القماش لصنع الملابس.,يمكن استخدام الملابس لصنع الحلقات.,0
8359,يحتاج الناس إلى تناول الطعام للحصول على الطاقة.,البشر ليسوا بحاجة لتناول الطعام للحصول على الطاقة.,0
8360,النمور تعيش في الغابة,النمور تعيش في المحيط,0
8361,أنا بحاجة لتناول الطعام لتخفيف الجوع.,أنا بحاجة للاستحمام للتخفيف من الجوع.,0
8362,تحتاج الحافلات إلى الغاز للتشغيل.,الحافلات بحاجة إلى الماء للتشغيل.,0
8363,المكياج يمكن أن يجعل الفتيات أكثر جمالا,المكياج يمكن أن يجعل الفتيات أقبح,0
8364,يمكن للسيارات السفر على الأرض.,يمكن للسيارات السفر في السماء,0
8365,الأرانب شرسة جدا.,الأرانب لطيفة للغاية.,1
8366,كثير من الناس يحبون شرب عصير الفاكهة.,كثير من الناس يحبون شرب البنزين.,0
8367,سمكة البيرانا سمكة شرسة للغاية.,سمكة البيرانا سمكة لطيفة للغاية.,0
8368,الملح هو البهارات الأكثر شيوعًا في الحياة,الملح هو الحيوان الأكثر شيوعًا في الحياة.,0
8369,يمكن استخدام الأكواب لمياه الشرب.,يمكن استخدام الأكواب لتناول الطعام,0
